ABANDON;BİRİNİ TERK ETMEK
ENTREPRENEUR;GİRİŞİMCİ,İŞLETMECİ
ENVY;KISKANMAK, İMRENMEK
EPİC;DESTAN
EQUAL;EŞİT, DENK, ADİL
EQUALİTY;EŞİTLİK
EQUATE;EŞİTLEMEK
EQUİP;DONATMAK
EQUİVALENT;EŞİTLİK
ERASER;SİLGİ
ERODE;YIPRATMAK, AŞINMAK
ERROR;HATA
ERUPT;PATLAMAK
ESCAPE;ÇIKIŞ,KAÇIŞ
ESSAY;MAKALE,DENEME
ESSENTİAL;GEREKLİ, ESAS, BASLİCA
ESTABLİSH;KURMAK, YAPMAK, DOĞRULUĞUNU KANITLAMAK, KABUL ETTTİRMEK
ESTİMATE;TAHMİN ETMEK
ETERNAL;KALICI, EBEDİ
EVALUATE;DEĞERLENDİRMEK
EVALUATİON;DEĞERLENDİRME
EVENT;OLAY, HADİSE, VAK'A
EVİDENCE;KANIT
EVİDENTLY;AÇIK VE ŞÜPHE GÖTÜRMEZ BİR ŞEKİLDE, DELİLLERE DAYANARAK
EVOLVE;GELİŞTİRMEK
EXAGGERATE;ABARTMAK
EXAGGERATED;ABARTILI, MÜBALAĞALI
EXAMİNE;İNCELEMEK, SORGULAMAK, MUAYENE ETMEK
EXAMPLE;ÖRNEK
EXCAVATE;KAZI YAPMAK
EXCEED;AŞMAK
EXCELLENT;MUHTEŞEM
EXCERPT;ÖZEL BASKİ, ALINTI
EXCESSİVE;AŞIRI, ABARTILI SAYIDA, MİKTARDA
EXCHANGE;TAKAS ETMEK, DEĞİŞ TOKUŞ ETMEK
EXCLUDE;DIŞINDA TUTMAK,ÇIKARMAK
EXCLUSİVE TO;HERKESE AÇIK OLMAYAN, ÖZEL OTEL, TATİL YERİ VB
EXCLUSİVELY;SADECE, YALNIZCA
EXCURSİON;KEŞİF GEZİSİ
EXERCİSE;EGZERSİZ, ÇALİSMA
EXHAUSTED;ÇOKYORGUN,TÜKENMİŞ
EXHİBİT;SERGİ ,SERGİLEMEK
EXİST;VAR OLMAK, MEVCUT HALE GELMEK
EXİSTENCE;VAR OLUŞ, MEVCUT OLMA
EXPAND;GENİŞLEMEK, BÜYÜMEK, NÜFUZ OLARAK ARTMAK
EXPECT;UMMAK, BEKLEMEK
EXPECTATİON;UMUT, BEKLENTİ
EXPENSE;MASRAF
EXPENSİVE;PAHALI
EXPERİENCE;DENEYİM, TECRÜBE ETMEK, YAŞAMAK
EXPİRE;YİYECEK, İLAÇ VB İÇİN SON KULLANMA TARİHİ GELMEK, MİADI DOLMAK
EXPİRY DATE;SON KULLANMA TARİHİ
EXPLAİN;AÇIKLAMAK
EXPLODE;PATLAMAK
EXPLOİT;PATLATMAK, SÖMÜRMEK
EXPLORE;KEŞFETMEK,ARAŞTIRMAK
EXPORT;İTHAL ETMEK
EXPOSE;AÇIKLAMAK, ARZ ETMEK
EXPOSİTORY;İZAH EDİCİ, AÇIKLAYICI
EXPRESS;İFADE ETMEK, İLETMEK  ÇABUK, HIZLI
EXTEND;TATİLİN, ÖDEVİN VB SÜRESİNİ UZATMAK
EXTRACT;ÖZET, ELDE ETMEK, ÇEKİP ÇIKARMAK ÜZÜMDEN SİRKE ELDE ETMEK GİBİ
EXTRAORDİNARY;FEVKALADE, OLAĞANÜSTÜ
EYEBROW;KAŞ
EYELASH;KİRPİK
EYELİD;GÖZKAPAĞI
FABRİCATE;UYDURMAK
FACE;YÜZ
FACİLİTATE;KOLAYLAŞTIRMAK
FACT;GERÇEK
FACTOR;FAKTÖR
FACTORY;FABRİKA
FADE;SOLMAK  SOLGUN
FAİL;BAŞARISIZOLMAK
FAİLURE;BAŞARISIZLIK
FAİNT;BAYILMAK
FAİRLY;OLDUKÇA
FALSİFY;HESAPLAR ÜZERİNDE OYNAMAK  SAHTEKARLIK YAPMAK
FAMİLİAR WİTH;AŞİNA, TANIDIK
FAMİSH;AÇ KALMAK, AÇLIKTAN ÖLMEK
FAMOUS;ÜNLÜ
FAN;HAYRAN
FAR;UZAK
FARE;OTOBÜS, UÇAK VB İÇİN FİYAT
FARM;ÇİFTLİK
FAT;ŞİŞMAN
FATAL;ÖLÜMCÜL ***FATALLY İNJURED
FAVOURABLE;OLUMLU, YAPICI
FEATURE;ÖZELLİK
FEEL;HİSSETMEK
FEMALE;KADIN
FERTİLİZE;TOPRAĞI VB VERİMLİ HALE GETİRMEK, VERİMLİ KILMAK
FETCH;GİDİP GETİRMEK
FİANCÉ;ERKEK NİŞANLI
FİANCÉE;KIZ NİŞANLI
FİELD TRİP;KIR GEZİSİ, ARAZİ GEZİSİ
FİERCE;ŞİDDETLİ, KIYASIYA, ÇETİN REKABET VB  AZGIN, AZMIŞ KÖPEK VB
FİGHT;KAVGAETMEK
FİGURATİVE;MECAZİ, SEMBOLİK
FİGURE;ŞEKİL, VÜCUT YAPİSİ,FİGÜR  RAKAM, SAYI  FİGURE OUT
FİLL;DOLDURMAK
FİLTHY;PİS, KİRLİ  DAYANIKSIZ, SAĞLAM OLMAYAN
FİNANCE;FİNANSE ETMEK, PARACA DESTEKLEMEK
FİNE;İNCE İNCE/KÜÇÜK DOĞRANMIŞ ET, PATATES VB  İYİ, GÜZEL  PARA CEZASI
FİNGER;PARMAK
FİRE;ATEŞ-YANGIN
FİREWORK;HAVAİ FİŞEK
FİRSTAİD;İLKYARDIM
FİT;SAĞLIKLI, ZİNDE, SIHHATİ YERİNDE
FLAG;BAYRAK
FLAT;APARTMANDAİRESİ
FLATMATE;EV ARKADAŞI
FLATTERY;BİRİNE YAĞ ÇEKME
FLEE;KAÇMAK
FLEECE;KOYUN POSTU YÜNLÜ *** HİDE
FLİGHT;UÇUŞ  UÇAK
FLOOR;YER,ZEMİN
FLOUR;UN
FLOW;NEHİR VB İÇİN AKMAK *** OVERFLOW
FLUCTUATE;DALGALANMAK, İSTİKRARLI GİTMEMEK, BİR ARTMAK BİR AZALMAK
FOCUS;ODAK
FOCUS ON;ODAKLANMAK, YOĞUNLAŞMAK
FOG;SİS
FOLD;KATLAMAK, KIVIRMAK, BÜKMEK  BİR ŞEYİN --- KATI
FOLLOW;TAKİPETMEK
FOOD;GIDA,YİYECEK
FOOTER;FUTBOL
FORCE;ZORLAMAK
FORCEFUL;GÜÇLÜ, ZORLU  ETKİLİ, İKNA EDİCİ
FORECAST;ÖNCEDEN TAHMİN ETMEK
FOREİGN;YABANCI
FORESHADOW;BELİRTİSİ OLMAK
FORGE;TAKLİDİNİ YAPMAK, SAHTESİNİ ÇIKARMAK
FORGERY;SAHTEKARLIK
FORGİVE;AFFETMEK
FORK;ÇATAL
FORM;FORM, ŞEKİL
FORMAL;RESMİ
FORMAT;BİÇİM, BOYUT
FORMER;ÖNCEKİ, ESKİ
FORMERLY;EVVELKİ, ÖNCEKİ
FORMULATE;FORMÜLLEŞTİRMEK, FORMÜLE DÖKMEK
FORTHCOMİNG;YAKINLAŞMAKTA OLAN, GELMEKTE OLAN  CHRİSTMAS VB
FORTİFY;TAKVİYE ETMEK, SAĞLAMLAŞTIRMAK, KUVVETLENDİRMEK
FRACTURE;KIRILMAK, ÇATLAMAK  KEMİK, KOLON VB
FRAGMENT;PARÇA
FRAİL;ZAYIF, CILIZ
FRAME;ÇERÇEVE
FREED;SERBEST KALMIŞ, ÖZGÜR
FREQUENTLY;SIK SIK
FRESH;TAZE
FRİENDLY;ARKADAŞÇA
FRONT;ÖN
FRUİT;MEYVE
FUEL;AKARYAKIT
FULFİL;GÖREV, SORUMLULUK VB YERİNE GETİRMEK, İCRA ETMEK
FUNDAMENTAL;ESAS, TEMEL, ZORUNLU
FUNERAL;CENAZE
FUNNY;KOMİK
FURNİTURE;MOBİLYA
FUSSY;AŞIRI TİTİZ
FUTURE;GELECEK
FUZZY;TÜYLÜ
GARDEN;BAHÇE
GARLİC;SARIMSAK
GATE;KAPI
GATHER;TOPLAMAK, BİR ARAYA GETİRMEK  BİR ARAYA GELMEK
GENDER;CİNSİYET
GENERAL;GENEL
GENERATE;ISI, ELEKTRİK VB ÜRETMEK  TARTIŞMA VB ORTAYA ATMAK
GENEROUS;CÖMERT
GENRE;TARZ, ÜSLUP
GENTLE;NAZİK
GET RİD OF;BAŞINDAN ATMAK, DEFETMEK
GİANT;DEV X DWARF
GİFT;HEDİYE
GİVE UP;VAZGEÇMEK, BIRAKMAK
GLAD;MUTLU
GLANCE;GÖZ ATMAK
GLASS;BARDAK
GLOOM;KARANLIK ***GLOOMY
GLORİFY;YÜCELTMEK, ÖVMEK
GLOVE;ELDİVEN
GOAL;AMAÇ, GAYE
GOVERN;YÖNETMEK
GOVERNMENT;HÜKÜMET
GOVERNOR;VALİ
GRAB;KAPMAK, EL KOYMAK
GRADUALLY;YAVAŞ YAVAŞ, KADEMELİ OLARAK
GRADUATE;MEZUNOLMAK
GRANT;VERMEK, BAHŞETMEK BURS, BAĞIŞ VB
GRAPE;ÜZÜM
GRAPH;GRAFİK
GRAPHİC;GRAFİKLE İLGİLİ
GRASP;BİR NESNEYİ KAVRAMAK  BİR KONUYU KAVRAMAK, ANLAMAK
GRASS;OT,ÇİMEN
GRAVEYARD;MEZARLIK
GROCER;BAKKAL,MARKET
GROOM;DAMAT
GROUND;ZEMİN
GROW;BÜYÜMEK,BÜYÜTMEK
GROWL;KÖPEK VE BENZERİ HAYVANLARIN ÇIKARDIĞI HIRLAMA SESİ
GUESS;TAHMİNETMEK
GUİDE;REHBER, REHBERLİK ETMEK
GUİLTY;SUÇLU
GUN;TABANCA
HABİT;ALIŞKANLIK
HALF;YARIM
HAND;EL
HANDSOME;YAKIŞIKLI
HARASS;SALDIRMAK, TACİZ ETMEK ******UAL HARASSMENT
HARBOUR;LİMAN  BARINDIRMAK, SAĞLAMAK
HARD;SERT
HARDSHİP;ZORLUK
HARDWARE;DONANIM
HARMFUL;ZARARLI
HARSHLY;SERT BİR ŞEKİLDE  KABACA
HASTEN;ACELE ETMEK
HATE;NEFRETETMEK
HAVOC;HASAR, YIKIM
HAZARD;TEHLİKE
HAZARDOUS;TEHLİKELİ
HEADER;BAĞLANTI, BAG
HEADİNG;BAŞLIK
HEADLİGHT;FAR
HEALTH;SAĞLIK
HEAR;DUYMAK
HEART;KALP
HEAVY;AĞIR
HECTİC;HEYECANLI, TELAŞLI, HAREKETLİ PROGRAM, OFİS VB
HESİTATE;DURAKLAMA
HİDE;SAKLAMAK
HİGH;YÜKSEK
HİGHLİGHT;İLGİNÇ OLAY
HİGHLY;OLDUKÇA, EPEY
HİNDER;ENGEL, MANİ  ENGEL OLMAK, MANİ OLMAK
HİRE;KİRALAMAK  İŞE ALMAK
HİSTORY;TARİH
HİT;ÇARPMAK
HİTCHHİKER;OTOSTOPÇU
HOLD;TUTMAK
HOLLOW;OYUK, BOŞLUK AĞAÇ KOVUĞU VB *** HOLLOW PROMİSE
HONEST;DÜRÜST
HOPE;UMMAK
HOPEFULLY;İNŞALLAH
HORRİBLE;KORKUNÇ
HORROR;KORKU
HOST;MİSAFİRETMEK
HUGE;İRİ, BÜYÜK
HUMİLİATE;AŞAĞILAMAK, REZİL ETMEK, UTANDIRMAK
HUMOUR;ESPRİ,MİZAÇ
HUNGRY;AÇ
HUNTER;AVCI
HURRİCANE HÖRİKEYN;KASIRGA
HURT;İNCİTMEK
HYPOTHESİZE;VARSAYIMDA BULUNMAK
İCEBERG;BUZ DAĞI
İDEA;FİKİR
İDENTİFY;TEŞHİS ETMEK, KİMLİĞİNİ BELİRLEMEK, SINIFLANDIRMAK
İDLE;TEMBEL
İGNORE;GÖRMEZDEN KALMAK, KALE ALMAMAK
İLL;HASTA
İLLUSİON;HAYAL,HÜLYA, KURUNTU
İLLUSTRATE;RESİMLEMEK, ÖRNEKLEMEK
İMAGİNE;HAYAL ETMEK
İMİTATE;TAKLİT ETMEK
İMMEDİATE;DERHAL, ACELE, ÇABUK  AKRABA İÇİN EN YAKIN
İMMOBİLİZE İMMMOBİLAYZ;HAREKETSİZ/SABİT KILMAK
İMPACT;ÇARPMAK
İMPEACH;SUÇLAMAK, İTHAM ETMEK
İMPLEMENT;GERÇEKLEŞTİRMEK REALİZE
İMPLİCATE;BULAŞTIRMAK
İMPLY;İMA ETMEK
İMPORT;İTHALETMEK
İMPOSE;ZORLA KABUL ETTİRMEK, KOYMAK VERGİ, YÜK OLMAK
İMPOSSİBLE;İMKANSIZ
İMPRİSONMENT;HAPSE ATMAK
İMPROVE;GELİŞTİRMEK
İNAUDİBLE;DUYULAMAZ, İŞİTİLEMEZ SES VB
İNCAPABLE OF İNKEPIBIL;KABİLİYETSİZ, YETENEKSİZ
İNCAPACİTATE;YETERSİZ BIRAKMAK, OLANAK TANIMAMAK, ACİZ BIRAKMAK
İNCESSANT;ARALIKSIZ, SÜREKLİ
İNCLİNE;EĞMEK, EĞİLİMİ OLMAK, FİKRİNİ VERMEK
İNCLİNED;EĞİM, YOKUŞ, MEYİL
İNCLUDE;DAHİL ETMEK, İÇERMEK
İNCORPORATE;BİRLEŞTİRMEK, DAHİL ETMEK
İNCORPORATE İNTO;DAHİL ETMEK
İNCREDİBLE;İNANILMAZ
İNDİCATE;GÖSTERMEK, BELİRTMEK
İNDİFFERENCE TO;KAYITSIZ, İLGİSİZ OLMAK
İNDİRECT;DOLAYLI
İNDUCE;-E NEDEN OLMAK, İKNA ETMEK
İNEVİTABLE;KAÇINILMAZ
İNFER;ANLAMAK, SONUCUNU ÇIKARMAK
İNFLUENCE;ETKİLEMEK,ETKİ
İNFLUENTİAL İNFLUWENŞIL;NÜFUZLU, SÖZÜ GEÇER, ÇEVRESİ GENİŞ
İNFORM;BİLGİLENDİRMEK
İNHERİT;MİRASA KONMAK, MİRAS OLARAK ALMAK
İNHİBİT;GÖZ DAĞI VERMEK
İNİTİALLY;BAŞLANGIÇTA, İLK ETAPTA
İNİTİATE İNİŞİYEYT;BAŞLATMAK
İNJECTİON;ENJEKTSİYON
İNJURE;İNCİTMEK
İNJUSTİCE;EŞİTSİZLİK, ADALETSİZLİK
İNK;MÜREKKEP
İNNOVATE;YENİ BİR ŞEY İCAT ETMEK, YENİLİK GETİRMEK
İNNOVATİON;YENİLİK, YENİ BİR ŞEY İCAD ETMEK
İNNOVATİVE;YENİLİKÇİ, İCATÇI
İNQUİRE;SORUŞTURMAK
İNSATİABLE İNSEYŞIBIL;GÖZÜ DOYMAZ, DOYUMSUZ, AÇ GÖZLÜ  OBUR, PİSBOĞAZ
İNSECT;BÖCEK
İNSİGNİFİCANT;EHEMMİYETSİZ, ÖNEMSİZ  ANLAMSIZ, MANASIZ
İNSİST;ISRARETMEK
İNSİST ON;ISRAR ETMEK
İNSPECT;İNCELEMEK
İNSTANTANEOUSLY;ANLIK, BİR ANDA OLAN, ANİDEN
İNSTİTUTE;KURMAK
İNSTRUCT;TALİMAT VERMEK
İNSTRUCTİONS;EĞİTİM, TALİMAT, YÖNERGE
İNSULATE AGAİNST;YALITMAK, SOĞUĞU/SESİ VB KESMEK HIRKANIN SOĞUĞU KESMESİ GİBİ
İNTEGRATE;BÜTÜNLEŞMEK, KAYNAŞMAK
İNTELLİGENCE;ZEKA, AKIL  HABER AJANSI
İNTELLİGENT;AKILLI,ZEKİ
İNTENT;NİYET, MAKSAT, AMAÇ
İNTENTİON;NİYET, MAKSAT, AMAÇ
İNTENTİON İNTENŞIN;NİYET
İNTENTİONAL;KASITLI,MAKSATLI,BİLEBİLE
İNTERACT;BİRBİRİNİ ETKİLEMEK
İNTERACTİON WİTH;ETKİLEŞİM
İNTERESTED;İLGİLİ
İNTERFERE;BAŞKASININ İŞİNE BURNUNU SOKMAK
İNTERFERE WİTH;KARIŞMAK, MÜDAHALE ETMEK
İNTERMİTTENT;ARALIKLI
İNTERPRET;YORUMLAMAK
İNTERPRETATİON;YORUM, ÇEVİRİ
İNTERROGATE;SORGUYA ÇEKMEK
İNTERVİEW;RÖPORTAJ, RÖPORTAJ YAPMAK  MÜLAKAT, MÜLAKAT YAPMAK
İNTİMATE;SAMİMİ  TANIDIK, AŞİNA ALIŞILAN PLAJ, TRAFİK MANZARALARI VB
İNTRODUCE;SUNMAK, TAKDİM ETMEK
İNTRODUCTİON;TANITIM
İNVADE;İŞGAL ETMEK, İSTİLA ETMEK
İNVALUABLE;PAHA BİÇİLMEZ, ÇOK DEĞERLİ
İNVARİABLY;DEĞİŞMEDEN, DEVAMLI, SÜREKLİ OLARAK
İNVENT;İCAT ETMEK
İNVEST;YAPTIRIMYAPMAK
İNVEST İN;PARA YATIRIMI YAPMAK
İNVESTİGATE;SORUŞTURMAK,ARAŞTIRMAK, İNCELEMEK
İNVİTE;DAVETETMEK
İNVOKE;DİLEMEK
İNVOLVE;KAPSAMAK, DAHİL ETMEK  ,GEREKTİRMEK
İNVOLVEMENT;DAHİL OLMA, KARIŞMA
İRONY;TERSİNİ SÖYLEYEREK ALAY ETME
İRREGULARİTY;YOLSUZLUK, HİLE  DÜZENSİZLİK
İRRELEVANT;İLGİSİZ
İSLAND;ADA
İSOLATE;SOYUTLAMAK
İTALİC;İTALİK
JAM;REÇEL
JAR;KAVANOZ
JEALOUS;KISKANÇ
JEOPARDİZE CİOPİDAYZ;TEHLİKEYE ATMAK
JEWEL;MÜCEVHER
JOB;MESLEK
JOİN;KATILMAK, İŞTİRAK ETMEK
JOİNT;EKLEM, MAFSAL  ORTAKLAŞA YAPILAN
JOKE;ŞAKA
JOURNALİST;GAZETECİ
JOURNEY;SEYAHAT
JUDGE;YARGİÇ
JUİCE;MEYVESUYU
JUMP;ZIPLAMAK
JUSTİFY;DOĞRULAMAK
KENNEL;KÖPEK KULÜBESİ
KEY;ANAHTAR
KEYHOLE;ANAHTAR DELİĞİ
KİCK;TEKME
KİDNAPPER;ADAM/ÇOCUK KAÇIRAN
KİLL;ÖLDÜRMEK
KİND;KİBAR
KNEE;DİZ
KNİFE;BIÇAK
KNOCK;DEVİRMEK  KAPI VB ÇALMAK
KNOWLEDGE;BİLGİ
LABEL;ETİKETLEMEK
LAKE;GÖL
LAMB;KUZU  KUZU ETİ
LARGE;GENİŞ
LATTER;SONRAKİ X FORMER
LAUGH;GÜLMEK
LAW;YASA
LAWYER;AVUKAT
LEAF;YAPRAK
LEAK;SU, YAĞ VB SIZMAK  BİLGİ, GİZLİ SIRLAR VB MEDYAYA SIZMAK
LEATHER;DERİ
LEAVE;AYRILMAK
LEFT;SOL
LEG;BACAK
LEGEND;EFSANE
LEGİSLATE;YASAMAK
LEİSURE;BOŞ VAKİT
LEND;ÖDÜNÇVERMEK
LESSEN;AZALTMAK
LET;İZİNVERMEK
LETTER;MEKTUP
LEVY;ZORLA TOPLAMA HARAÇ
LİBRARY;KÜTÜPHANE
LİE;YALANSÖYLEMEK
LİFT;ASANSÖR
LİGHT;HAFİF/IŞIK
LİKELY;OLASI, MUHTEMEL
LİKEWİSE;BUNA BENZER ŞEKİLDE, AYNEN BUNUN GİBİ
LİP;DUDAK
LİQUİD;SIVI
LİST;LİSTE, LİSTELEMEK
LİSTLESS;YORGUN, BİTKİN
LİTERACY;OKUR YAZARLIK
LİTERAL;GERÇEK, ABARTISIZ
LİTTER;ÇÖP
LOAD;YÜKLEMEK
LOAN;KREDİ
LOANAGREEMENT;KREDİSÖZLEŞMESİ
LOATHE;NEFRET ETMEK
LOCATE;YERLEŞTİRMEK
LOCATİON;MEVKİ, YER
LOCK;KİLİTLEMEK
LOGİCAL;MANTIKLI
LOOSE;GEVŞEK, SIKICA BAĞLANMAMIŞ, GEVŞEMİŞ X TİGHT
LOSE;KAYBETMEK
LOUD;YÜKSEKSES
LOVELY;SEVECEN, SEVİMLİ
LOW;ALÇAK
LUCK;ŞANS
LUGGAGE;BAGAJ
LUGGAGE LAGİÇ;BAGAJ
LUNCH;ÖĞLEYEMEĞİ
MAGİC;SİHİR
MAGİCAL MECİKIL;SİHİRLİ
MAGNİFİCENT;MÜKEMMEL
MAİN;ESAS, ANA, TEMEL
MAİNSTREAM;PEK ÇOK KİŞİ TARAFINDAN KABUL GÖREN İNANIŞ VEYA DÜŞÜNCE
MAİNTAİN;SÜRDÜRMEK,KORUMAK
MAKE A DECİSİON;KARAR VERMEK
MALL;ALIŞVERİŞMERKEZİ
MANAGE;BAŞARMAK, ÜSTESİNDEN GELMEK  YÖNETMEK, İDARE ETMEK
MANAGEMENT;YÖNETİM İDARE
MANAGER;YÖNETİCİ,MÜDÜR
MANİPULATE;ELİNDE OYNATMAK
MANNER;DAVRANIŞ, TUTUM
MANUFACTURE;FABRİKADA ÜRETMEK
MAP;HARİTA
MARCH;İLERLEME, İLERLEYİŞ, MARŞLA YÜRÜMEK
MARGİN;KENAR, PAY
MARKETİNGRESEARCH;PAZARARAŞTIRMASI
MARKETSHARE;PAZARPAYI
MARRİED;EVLİ
MARVELLOUS;HARİKULADE
MASSACRE MESSEKI;R
MASSİVE;MUAZZAM
MASTER;EFENDİ, SAHİP  HAKİM OLMAK, BİR ŞEYİ DETAYLARIYLA BİLMEK
MASTERPİECE;ŞAHESER, BAŞ YAPIT
MATURE ; OLGUN
MEADOW;ÇAYIR, OTLAK, MERA
MEAL;YEMEK
MEAN;CİMRİ/ORTA, VASAT/NİYET ETMEK, DEMEK İSTEMEK
MEANDER;DOLAMBAÇLI YOL  AVARE AVARE DOLAŞMAK
MEASURE;ÖLÇÜ, MİKTAR, ÖLÇÜM
MEASURE MEJI;R
MEAT;ET
MEDİATE BETWEEN;ARABULUCULUK ETMEK, ARASINI BULMAK
MEDİCİNE;İLAÇ
MEET;BULUŞMAK
MEETİNG;TOPLANTI
MELON;KAVUN
MEMBER;ÜYE
MEMBEROFPARLİAMENT;MİLLETVEKİLİ
MEMORİAL;ANIT
MEMORY;BELLEK,HAFIZA
MEND;TAMİRETMEK
MENTİON;BAHSETMEK
MERCHANDİSE;MAL,EŞYA
MERGE;BİRLEŞMEK, BİR ARAYA GELMEK  İKİ ŞİRKETİN BİRLEŞMESİ VB
METAPHOR;MECAZ
METHOD;METOD, YÖNTEM
MİGRATE;GÖÇMEK
MİLİTARY;ASKERİ
MİND;AKIL
MİNİSTER;BAKAN
MİNOR;AZ  ÖNEMSİZ, KÜÇÜK *** MİNORİTY
MİNUTE;DAKİKA
MİRACULOUSLY;MUCİZE ESERİ
MİRROR;AYNA
MİSBEHAVE;TERBİYESİZLİK YAPMAK, KÖTÜ DAVRANIŞLAR SERGİLEMEK
MİSCHİEF;YARAMAZLIK, HAŞARILIK
MİSS;ÖZLEMEK
MİSTAKE;HATA
MİSUNDERSTANDİNG;YANLIŞ ANLAŞILMA
MİX UP;AKLINI KARIŞTIRMAK,KARIŞTIRMAK
MİXED;KARIŞIK
MOCK AT;DALGA GEÇMEK, ALAY ETMEK
MODEL;MODEL, ÖRNEK
MODİFY;DEĞİŞTİRMEK
MONİTOR;MONİTOR, EKRAN, GÖZLEMLEME
MONKEY;MAYMUN
MONTH;AY
MOOD;RUH HALİ, MORAL ***İN A BAD MOOD
MOON;AY
MOSQUE;CAMİ
MOTİVATİON;MOTİVASYON
MOUNTAİN;DAĞ
MOURNİNG;YAS, KEDER
MOUTH;AĞIZ
MOVE;HAREKETETMEK,TAŞINMAK
MOVEMENT;HAREKET  EDEBİYATTA VB AKIM
MULTİNATİONAL;ÇOK ULUSLU
MUNİCİPALİTY;BELEDİYE
MURDER;CİNAYETİŞLEMEK
MUSCLE;KAS
MYSTERY;GİZEM, SIR
NAİLCLİPPERS;TIRNAKMAKASI
NARRATİVE;HİKAYE, ÖYKÜ
NARRATOR;HİKAYECİ
NARROW;DAR
NARROWLY;KIL PAYI
NATİON;ULUS
NATİVE TO;YÖREYE HAS/ÖZGÜ
NAUGHTY;YARAMAZ
NEED;İHTİYAÇ
NEGLECT;İHMAL ETMEK
NEİGHBOUR;KOMŞU
NERVOUS;ENDİŞELİ
NEUTRALİTY NÖTRALİTİ;TARAFSIZLIK
NEVER;ASLA
NEWS;HABERLER
NİCE;HOŞ
NOİSE;SES
NOSE;BURUN
NOTATİON;NOT ETME, NOTALAR SİSTEMİ
NOTE;İŞARET, BELİRTİ
NOTİCE;İLAN  FARK ETMEK
NOVEL;ROMAN
NURSE;HEMŞİRE
OBESE;ŞİŞMAN, OBEZ
OBEY;UYMAK, İTAAT ETMEK  KURALLARA VB
OBJECT;NESNE
OBJECTİON;İTİRAZ
OBJECTİVE;AMAÇ,HEDEF
OBLİGATİON;ZORUNLULUK, MECBURİYET
OBSCURE;SİLİK  ANLAŞILMAZ HALE GETİRMEK, KARIŞIK HALE GETİRMEK
OBSERVE;DİKKATLE BAKMAK, GÖZETLEMEK, GÖZLEMLEMEK
OBSOLETE;MODASI GEÇMİŞ, ESKİDE KALMIŞ
OBTAİN;ELDE ETMEK
OBVİOUS;AÇIK,BARİZ,ORTADA
OCCASİON;ÖZEL OLAY, ÖNEMLİ GÜN  DURUM, HAL
OCCASİONAL;ARA SIRA, NADİREN
OCCUPY;ÜLKE/ŞEHİR VB İŞGAL ETMEK  BİR MEKANI DOLDURMAK, YERLEŞMEK
OCCUR;MEYDANA GELMEK
OCCURRENCE;VUKUAT, OLAY
OCEAN;OKYANUS
ODD;TUHAF
ODDLY ENOUGH!;NE TUHAFTIR Kİ …!
ODOUR;KOKU ***ODOURLESS
OFFEND;GÜCENDİRMEK, KIRMAK  HAFİF SUÇ İŞLEMEK
OFFER;TEKLİF, TEKLİF ETMEK  İMKAN, FIRSAT VB SAĞLAMAK, SUNMAK
OFFİCER;MEMUR,YETKİLİ
OFFİCİALLY;RESMEN, RESMİ OLARAK
OİL;YAĞ
OPİNİON;FİKİR
OPPORTUNİTY;FIRSAT
OPPOSE;KARŞI ÇIKMAK
OPPOSİTE;KARŞI-ZIT
OPPOSİTİON;KARŞITLIK, MUHALEFET,ZITLIK
OPPRESS;ZULMETMEK
OPTİONAL;İSTEĞE BAĞLI
ORDER;DÜZEN, TERTİP
ORDİNARY;SIRADAN, ALIŞILAGELMİŞ
ORGANİZE;ORGANİZE ETMEK, DÜZENLEMEK
ORİGİN;KOK, KAYNAK
ORİGİNALLY;İLK BAŞTA, İLK ÖNCELERİ
ORNAMENT;SÜS, SÜS EŞYASI  SÜSLEMEK
ORPHAN;YETİM BIRAKMAK
OUTCROP;YERYÜZÜNE ÇIKMIŞ KATMAN
OUTCRY;FERYAT FİGAN, ÇIĞLIK
OUTDO;BİRİNİ GERİDE BIRAKMAK, SOLLAMAK, EKARTE ETMEK
OUTİNG;GEZİ, GEZİNTİ
OUTLET;SADECE BİR ÇEŞİT ÜRÜN VEYA SADECE BİR FİRMANIN ÜRÜNÜNÜ SATAN ŞUBE
OUTLİNE;ANA HAT
OVEN;FIRIN
OVERLAP;ÜSTÜSTE BİNMEK
OVERLOOK;GÖZ ARDI ETMEK, GÖRMEZDEN GELMEK
OVERTAKE;ARABASIYLA BİR BAŞKA ARABAYI SOLLAMAK
OVERWEİGHT;KİLOLU
PACE;HIZ
PAGE;SAYFA
PAİNT;BOYAMAK
PARAPHRASE;YORUM, AÇIKLAMA
PARENT;EBEVEYN
PARTİALLY;KISMEN
PARTİCİPATE;KATILMAK
PARTİCİPATE İN;KATILMAK, İŞTİRAK ETMEK
PARTİCİPATİON;KATILIM
PARTİCULAR PITİK;ULIR
PARTİCULARLY;ÖZELLİKLE
PASS;GEÇMEK
PASSAGE;GEÇİT, PASAJ
PASSENGER;TOPLU TAŞIT YOLCUSU
PASSİONATELY;İHTİRASLA, TUTKUYLA
PATİENCE;SABIR
PATİENTLY;SABIRLA, SABIRLI BİR ŞEKİLDE
PATTERN;ÖRNEK
PAVEMENT;KALDIRIM
PAY;ÖDEMEK
PEACE AND QUİET;HUZUR VE SÜKUNET
PEAK;DORUK, ZİRVE *** AT PEAK
PECULİAR;TUHAF, ACAYİP
